"MismTreat","N","RelativeFitness","sd","se","ci","SampleSize","curve"
-4,22,0.00254642475992506,0.00833475724111386,0.00177697621445559,0.00369542433733362,126,-0.0226607451097013
-3,22,0.0228731454784919,0.0435503435906268,0.00928496445105461,0.0193091406202175,66,0.0357831344268705
-2,22,0.104890711239663,0.143081485734693,0.0305050752558617,0.0634387768365498,128,0.181182164538417
-1,22,0.324281537840974,0.280084420856618,0.0597141991666772,0.124182475313848,66,0.408055014021206
0,22,0.799977562481917,0.0859997728544733,0.0183352131789935,0.0381301631730683,128,0.724818352212841
1,22,0.923835195037156,0.223935389211241,0.047743185397209,0.0992873893434363,66,0.95212928538097
2,22,1,0.0939302430759461,0.0200259951112483,0.0416463366878009,132,1
3,22,0.858452001353782,0.291991999886442,0.0622529035458969,0.129462000088544,66,0.940673622117941
4,22,0.76699804446709,0.189422078304819,0.040384922788156,0.0839850445485075,132,0.788859740893945
5,22,0.546143518375751,0.189255747570547,0.0403494609564572,0.0839112976323474,66,0.546596593692684
