"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)","mod"
"MismTreat_noNeg",176.335320812486,176.335320812486,1,327.143193127604,1.80805260274008,0.179673552551882,"lmPupa_step1"
"MismTreat_squared",3.4896827152875,3.4896827152875,1,325.819264029813,0.0357814298748583,0.85008535044654,"lmPupa_step1"
"PhotoTreat",385.953856632659,385.953856632659,1,326.308649883573,3.95737434682364,0.0475010150374088,"lmPupa_step1"
"MismTreat_noNeg:PhotoTreat",206.674085157323,206.674085157323,1,325.43166329051,2.11913084608266,0.146433071926806,"lmPupa_step1"
"MismTreat_squared:PhotoTreat",142.625491844141,142.625491844141,1,324.973261487556,1.46240917904419,0.227426224993214,"lmPupa_step1"
"MismTreat_noNeg1",59.1378559123494,59.1378559123494,1,329.626156749827,0.604167087040946,0.437549966777543,"lmPupa_step2"
"MismTreat_squared1",79.0557126046527,79.0557126046527,1,328.014985473203,0.807652879216496,0.369474305061295,"lmPupa_step2"
"PhotoTreat1",766.761454152631,766.761454152631,1,329.171978779155,7.8334262726278,0.00543124241329936,"lmPupa_step2"
"MismTreat_noNeg2",8478.97935116529,8478.97935116529,1,330.950369563025,86.745423880971,1.77464735725522e-18,"lmPupa_step3"
"PhotoTreat2",814.029540724477,814.029540724477,1,330.084280810313,8.32804688362313,0.00416073917664726,"lmPupa_step3"
