"MismTreat","N","rel","sd","se","ci","samplesize","curve"
-4,22,0.00254642478955461,0.00833475737125926,0.00177697624220268,0.00369542439503686,126,-0.0226607453037386
-3,22,0.0228731457908488,0.0435503443918297,0.00928496462187164,0.019309140975451,66,0.0357831354652916
-2,22,0.104890713574551,0.143081489589606,0.0305050760777318,0.0634387785457221,128,0.181182166146774
-1,22,0.324281540597443,0.280084425714625,0.0597142002024078,0.124182477467768,66,0.408055015635116
0,22,0.799977562880104,0.0859997909114429,0.0183352170287523,0.0381301711790801,128,0.724818352949727
1,22,0.923835196981262,0.22393539481235,0.0477431865913694,0.0992873918268287,66,0.952129285215842
2,22,1,0.0939302560746893,0.0200259978825897,0.0416463424511207,132,1
3,22,0.858452003682509,0.291992003736397,0.0622529043667099,0.129462001795518,66,0.940673622405169
4,22,0.766998046079452,0.189422082639389,0.0403849237122894,0.0839850464703482,132,0.788859741526094
5,22,0.546143519824946,0.189255751760403,0.0403494618497374,0.0839112994900252,66,0.546596594717108
