"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)","mod"
"MismTreat1",176.335320812486,176.335320812486,1,327.143193127604,1.80805260274008,0.179673552551882,"lm_weight_full"
"MismTreat2",3.4896827152875,3.4896827152875,1,325.819264029813,0.0357814298748583,0.85008535044654,"lm_weight_full"
"PhotoTreat",385.953856632659,385.953856632659,1,326.308649883573,3.95737434682364,0.0475010150374088,"lm_weight_full"
"MismTreat1:PhotoTreat",206.674085157323,206.674085157323,1,325.43166329051,2.11913084608266,0.146433071926806,"lm_weight_full"
"MismTreat2:PhotoTreat",142.625491844141,142.625491844141,1,324.973261487556,1.46240917904419,0.227426224993214,"lm_weight_full"
"MismTreat11",59.1378559123494,59.1378559123494,1,329.626156749827,0.604167087040946,0.437549966777543,"lm_weight_no_interact"
"MismTreat21",79.0557126046527,79.0557126046527,1,328.014985473203,0.807652879216496,0.369474305061295,"lm_weight_no_interact"
"PhotoTreat1",766.761454152631,766.761454152631,1,329.171978779155,7.8334262726278,0.00543124241329936,"lm_weight_no_interact"
"MismTreat12",8478.97935116529,8478.97935116529,1,330.950369563025,86.745423880971,1.77464735725522e-18,"lm_weight_no_squared"
"PhotoTreat2",814.029540724477,814.029540724477,1,330.084280810313,8.32804688362313,0.00416073917664726,"lm_weight_no_squared"
